date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:12	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:11%20GMT	https://eyecix.com/html/sportsmagazine/script/progressbar.js	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/script/progressbar.js	(from https://eyecix.com/html/sportsmagazine/)
18:52:12	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:12%20GMT	https://eyecix.com/html/sportsmagazine/script/counter.js	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/script/counter.js	(from https://eyecix.com/html/sportsmagazine/)
18:52:13	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2004%20May%202017%2018:01:23%20GMT	https://eyecix.com/html/sportsmagazine/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/fonts/fontawesome-webfont3e6e.ttf	(from https://eyecix.com/html/sportsmagazine/css/font-awesome.css)
18:52:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:12%20GMT	https://eyecix.com/html/sportsmagazine/script/functions.js	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/script/functions.js	(from https://eyecix.com/html/sportsmagazine/)
18:52:14	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:13%20GMT	https://eyecix.com/html/sportsmagazine/images/logo-2.png	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/images/logo-2.png	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:14	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:14%20GMT	https://eyecix.com/html/sportsmagazine/extra-images/banner-two-1.jpg	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/extra-images/banner-two-1.jpg	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:17	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20May%202017%2018:01:25%20GMT	https://eyecix.com/html/sportsmagazine/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/fonts/fontawesome-webfont3e6e.svg	(from https://eyecix.com/html/sportsmagazine/css/font-awesome.css)
18:52:30	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:14%20GMT	https://eyecix.com/html/sportsmagazine/extra-images/banner-team-img1.png	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/extra-images/banner-team-img1.png	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:31	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:15%20GMT	https://eyecix.com/html/sportsmagazine/extra-images/banner-team-img2.png	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/extra-images/banner-team-img2.png	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:31	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:18%20GMT	https://eyecix.com/html/sportsmagazine/extra-images/banner-two-thumb-1.png	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/extra-images/banner-two-thumb-1.png	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:31	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:31%20GMT	https://eyecix.com/html/sportsmagazine/extra-images/player-stats-img1.jpg	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/extra-images/player-stats-img1.jpg	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:32	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2017%20Apr%202018%2015:52:31%20GMT	https://eyecix.com/html/sportsmagazine/extra-images/player-stats-img2.jpg	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/extra-images/player-stats-img2.jpg	(from https://eyecix.com/html/sportsmagazine/index-two.html)
18:52:33	182888/182888	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20May%202017%2018:01:34%20GMT	https://eyecix.com/html/sportsmagazine/fonts/icomoon.eot?d427k4	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/fonts/icomoon1aa6.eot	(from https://eyecix.com/html/sportsmagazine/css/flaticon.css)
